"id","имя","ссылка","регулярная цена","промо цена"
"470348","Лук белый","https://online.metro-cc.ru/products/luk-belyj-470348","169",""
"470388","Сельдерей корень","https://online.metro-cc.ru/products/selderej-koren-470388","229",""
"396027","Морковь мытая","https://online.metro-cc.ru/products/morkov-mytaya-v-pakete-1-kg","105",""
"33300","Томаты Агрокультура Конфетто черри","https://online.metro-cc.ru/products/tomaty-cherri-slivka-konfetto-250-g-33300","229",""
"417019","Томаты ЭКО-культура черри сливка","https://online.metro-cc.ru/products/tomaty-cherri-krasnye-250g-417019","239",""
"374554","Кукуруза мини","https://online.metro-cc.ru/products/kukuruza-mini-125-g-374554","199",""
"263267","Чеснок","https://online.metro-cc.ru/products/chesnok-263267-263267","59",""
"241943","Томаты черри Мое лето Дуэт микс","https://online.metro-cc.ru/products/tomayt-cherri-moe-leto-duet-miks-250g","209",""
"644568","Картофель Батат сладкий","https://online.metro-cc.ru/products/kartofel-sladkij-batat-vesovoj-1-kg","499",""
"418058","Томаты ЭКО-культура Ардилес коктейльные на ветке","https://online.metro-cc.ru/products/tomaty-cherri-rianna-koktejlnye-500-g","349",""
"596508","Капуста кольраби","https://online.metro-cc.ru/products/kapusta-kitajskaya-vesovaya-1-kg","449",""
"387915","Томаты Черри желтые на ветке","https://online.metro-cc.ru/products/tomat-koktejlnyj-miks-250g","239",""
"389713","Свекла мытая","https://online.metro-cc.ru/products/svekla-setka-15kg-389713","89",""
"214267","Лук репчатый","https://online.metro-cc.ru/products/luk-repchatyj-setka-214267-214267","45",""
"113782","Томаты Томатиньо розовые на ветке","https://online.metro-cc.ru/products/tomaty-tomatino-rozovye-na-vetke-300-g-113782","229",""
"141644","Перец красный острый","https://online.metro-cc.ru/products/perec-ostryj-krasnyj-upakovannyj-140-g","89",""
"627495","Томаты сливовидные","https://online.metro-cc.ru/products/tomaty-slivovidnye-600-g","239",""
"644596","Томаты розовые Дагестан","https://online.metro-cc.ru/products/tomaty-azerbajdzhanskie-garmoniya","499",""
"287691","Лук красный","https://online.metro-cc.ru/products/luk-krasnyj-500g-287691","119",""
"644573","Тыква весовая","https://online.metro-cc.ru/products/artishok-camus-vesovoj-1-kg","119",""
"624176","Чеснок Фермерский","https://online.metro-cc.ru/products/chesnok-fermerskij-150-g-624176","139",""
"124014","Сельдерей стебли","https://online.metro-cc.ru/products/selderej-stebli-124014","109",""
"141643","Перец зеленый острый","https://online.metro-cc.ru/products/perec-ostryj-upakovka-140-g","84",""
"113427","Перец жгучий микс","https://online.metro-cc.ru/products/perec-zhguchij-miks-100-g-113427","229",""
"424007","Картофель Беби сетка","https://online.metro-cc.ru/products/kartofel-bebi-molodoysetka","99",""
"220527","Томаты ЭКО-культура черри сливка на ветке","https://online.metro-cc.ru/products/250g-tomaty-cherri-slivka-na-vetke-eko-kultura","249",""
"643999","Лук Ялтинский красный","https://online.metro-cc.ru/products/luk-yaltinskij-550g","149",""
"242030","Томаты черри ЭКО-культура сливка оранжевые на ветке","https://online.metro-cc.ru/products/tomaty-cherri-eko-kultura-slivka-oranzhevye-na-vetke-250g","259",""
"211660","Картофель йодированный 2кг","https://online.metro-cc.ru/products/kartofel-jodirovannyj-2kg","59",""
"242189","Томаты сливовидные","https://online.metro-cc.ru/products/tomaty-slivovidnye-600g","239",""
"409100","Кукуруза мини","https://online.metro-cc.ru/products/art_409100","249",""
"325006","Горошек молодой","https://online.metro-cc.ru/products/goroshek-molodoj-250g","459",""
"644563","Артишок весовой","https://online.metro-cc.ru/products/artishok-644563","899",""
